Step,Loss
0,11.905123901367187
1,8.9258056640625
2,7.343788146972656
3,6.666846466064453
4,6.18523941040039
5,5.9660491943359375
6,6.2446949005126955
7,5.744923782348633
8,5.567914962768555
9,5.352336883544922
10,5.0836341857910154
11,5.03936538696289
12,4.845798110961914
13,4.607654571533203
14,4.5502361297607425
15,4.3722679138183596
16,4.1909645080566404
17,4.2369037628173825
18,3.9936233520507813
19,3.995045852661133
20,5.341957473754883
21,5.846985626220703
22,5.171669769287109
23,4.781436538696289
24,4.960333633422851
25,5.472184753417968
26,5.0555065155029295
27,4.527148056030273
28,4.9551746368408205
29,4.8384246826171875
30,4.02015266418457
31,4.488719940185547
32,4.394636535644532
33,4.330768966674805
34,4.496328353881836
35,4.293827819824219
36,3.935962677001953
37,3.9023773193359377
38,4.094528579711914
39,4.920517349243164
40,5.41509780883789
41,5.277397155761719
42,4.928100204467773
43,4.8683124542236325
44,4.928264236450195
45,4.7803291320800785
46,4.772859954833985
47,4.483334350585937
48,4.336681365966797
49,4.355244827270508
50,4.515084838867187
51,4.271541976928711
52,4.139801025390625
53,4.119480133056641
54,4.101779937744141
55,3.972657012939453
56,3.9186111450195313
57,3.6332984924316407
58,3.363943099975586
59,3.7701385498046873
60,3.5661331176757813
61,3.521567153930664
62,3.498139190673828
63,3.1996204376220705
64,3.27730712890625
65,5.075126647949219
66,4.770009613037109
67,5.238820266723633
68,5.6219738006591795
69,5.235403442382813
70,4.981740570068359
71,4.714456939697266
72,4.569244766235352
73,4.133563995361328
74,3.9295745849609376
75,4.095703125
76,3.5809513092041017
77,3.4468204498291017
78,3.6121028900146483
79,3.751775360107422
80,6.246956634521484
81,5.036939239501953
82,4.265700149536133
83,4.826411437988281
84,5.953182983398437
85,5.600646209716797
86,5.183892822265625
87,5.189056777954102
88,4.582334899902344
89,4.247174072265625
90,4.190826034545898
91,4.125369644165039
92,4.024258804321289
93,3.9804718017578127
94,3.427317810058594
95,3.266201400756836
96,3.5875324249267577
97,5.414040374755859
98,5.219163513183593
99,4.991333770751953
